Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"Q1","2N7002","SOT-23",-28.000000,-15.000000,90.000000,bottom
"Q2","2N7002","SOT-23",-22.000000,-15.000000,90.000000,bottom
"Q3","2N7002","SOT-23",-16.000000,-15.000000,90.000000,bottom
"R1","4.7k","R_0805_2012Metric",-46.000000,-18.000000,90.000000,bottom
"R2","4.7k","R_0805_2012Metric",-48.000000,-18.000000,90.000000,bottom
"R3","330","R_0805_2012Metric",-25.500000,-10.000000,90.000000,bottom
"R4","330","R_0805_2012Metric",-19.500000,-10.000000,90.000000,bottom
"R5","330","R_0805_2012Metric",-13.500000,-10.000000,90.000000,bottom
