Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"Q1","2N7002","SOT-23",32.000000,-69.000000,0.000000,bottom
"Q2","2N7002","SOT-23",38.000000,-69.000000,0.000000,bottom
"Q3","2N7002","SOT-23",44.000000,-69.000000,0.000000,bottom
"R1","4.7k","R_0805_2012Metric",18.000000,-76.000000,180.000000,bottom
"R2","4.7k","R_0805_2012Metric",18.000000,-78.000000,180.000000,bottom
"R3","330","R_0805_2012Metric",29.000000,-75.000000,270.000000,bottom
"R4","330","R_0805_2012Metric",35.000000,-75.000000,270.000000,bottom
"R5","330","R_0805_2012Metric",41.000000,-75.000000,270.000000,bottom
